yorum,cumle,aspect,sentiment
"Markası ve uygun fiyat oluşu artısı. İnce bir laptop. Ama performans zayıf. Sürekli kasma yapıyor. ""Dırt"" diye ses çıkarıp zorlanıyor. Yeni aldım daha. Açılır a",dırt diye ses çıkarıp zorlanıyor,ses_goruntu,notr
"Markası ve uygun fiyat oluşu artısı. İnce bir laptop. Ama performans zayıf. Sürekli kasma yapıyor. ""Dırt"" diye ses çıkarıp zorlanıyor. Yeni aldım daha. Açılır a",yeni aldım daha,fiyat,notr
Yavaş çalışıyor 😔,yavaş çalışıyor,genel,negatif
bir keptop çantasıyla gönderilebilirdi. şimdilik kullanımı orta okul ödevleri vs küçük işler için yeterli kullandıkça güncelleyeceğim,bir keptop çantasıyla gönderilebilirdi,kargo,notr
Fiyatına göre fena değil gibi şimdilik,fiyatına göre fena değil gibi şimdilik,fiyat,pozitif
Youtubedan video izlerken bile kasıyor bazen memnun kalmadım ne beklediğinize bağlı.,youtubedan video izlerken bile kasıyor bazen memnun kalmadım ne beklediğinize bağlı,ses_goruntu,negatif
şarzi aşırı hızlı bitiyor ve kasma var yani degmez,şarzi aşırı hızlı bitiyor ve kasma var yani degmez,batarya,pozitif
İçinden şarj çıkmadı,içinden şarj çıkmadı,batarya,notr
Sürekli donup duruyor yorumlara bakarak almıştım ama beğenmedim hatta 2. El mi diye düşündüm,sürekli donup duruyor yorumlara bakarak almıştım ama beğenmedim hatta 2. el mi diye düşündüm,genel,negatif
İndirmek istediğim dosyalar inmiyor bilgisayar desteklemiyor diyor anlamadım yani,indirmek istediğim dosyalar inmiyor bilgisayar desteklemiyor diyor anlamadım yani,genel,notr
Mouse yollanmamış hediye olarak yazıyor ama kargoda ürün yoktu,kargoda ürün yoktu,kargo,negatif
biraz ağır daha şimdiden ve uykuya geçer kapanır dige beklerken sabaha kdr açık kalmış ısınmış,biraz ağır daha şimdiden ve uykuya geçer kapanır dige beklerken sabaha kdr açık kalmış ısınmış,genel,negatif
yaa bilgsayarı sadece bir dil olarak kullana biliyoruz ayrica alala sadece beş gün oldu ve bi anda dondu ve klavyesi çalışmamaya başladı ama şuan sorunu haletim,yaa bilgsayarı sadece bir dil olarak kullana biliyoruz ayrica alala sadece beş gün oldu ve bi anda dondu ve klavyesi çalışmamaya başladı ama şuan sorunu haletim,genel,notr
Fiyat performans ürünü  kasıyor donuyor idare eder,fiyat performans ürünü kasıyor donuyor idare eder,fiyat,negatif
donması şaşırtıyor güzel duruyor ama kullanışlı değil,donması şaşırtıyor güzel duruyor ama kullanışlı değil,genel,pozitif
fiyat performans olarak gayet iyi tam öğrenci bilgisayari,fiyat performans olarak gayet iyi tam öğrenci bilgisayari,fiyat,pozitif
Kurulumda ufak sorun yaşadım ama hallettim paketlemesi çok özenliydi gayet hızlı ben ders çalışmak için aldım extra bi beklentim olmadığı için yeterli geldi ban,hallettim paketlemesi çok özenliydi gayet hızlı ben ders çalışmak için aldım extra bi beklentim olmadığı için yeterli geldi ban,kargo,pozitif
Kurulumda ufak sorun yaşadım ama hallettim paketlemesi çok özenliydi gayet hızlı ben ders çalışmak için aldım extra bi beklentim olmadığı için yeterli geldi ban,hallettim paketlemesi çok özenliydi gayet hızlı ben ders çalışmak için aldım extra bi beklentim olmadığı için yeterli geldi ban,fiyat,pozitif
Kurulumda ufak sorun yaşadım ama hallettim paketlemesi çok özenliydi gayet hızlı ben ders çalışmak için aldım extra bi beklentim olmadığı için yeterli geldi ban,hallettim paketlemesi çok özenliydi gayet hızlı ben ders çalışmak için aldım extra bi beklentim olmadığı için yeterli geldi ban,ambalaj,pozitif
yeğenim için aldık fiyatına göre süper,yeğenim için aldık fiyatına göre süper,fiyat,pozitif
Sorunsuz geldi çok zarif ve çok şık okul ders için kesinlikle öneririm,sorunsuz geldi çok zarif ve çok şık okul ders için kesinlikle öneririm,kargo,pozitif
bilgisayari bir iki aydır kullanıyorum problem yok fp memnunum,bilgisayari bir iki aydır kullanıyorum problem yok fp memnunum,genel,pozitif
evliyiz mutluyuz huzurluyuz,evliyiz mutluyuz huzurluyuz,genel,pozitif
Kardeşim için aldık paketlemesi güzeldi fiyat performans,kardeşim için aldık paketlemesi güzeldi fiyat performans,fiyat,pozitif
Kardeşim için aldık paketlemesi güzeldi fiyat performans,kardeşim için aldık paketlemesi güzeldi fiyat performans,ambalaj,pozitif
kardeşime aldım kullanıyor bence güzel memnun şimdilik,kardeşime aldım kullanıyor bence güzel memnun şimdilik,fiyat,pozitif
iyi bı sorunu yok 2 aydır kullanıyorum,iyi bı sorunu yok 2 aydır kullanıyorum,genel,pozitif
Güzel kardeşim için aldık dersleri için,güzel kardeşim için aldık dersleri için,genel,pozitif
memnun kaldik,memnun kaldik,genel,notr
güzel uni için aldım yeterki,güzel uni için aldım yeterki,fiyat,pozitif
kurulumunda zorlandım dilini de henüz değiştiremedim ama basit işlevler için gayet yeterli,kurulumunda zorlandım dilini de henüz değiştiremedim ama basit işlevler için gayet yeterli,genel,pozitif
cok iyi geldi saglam geldi paketlemesi iyiydi,cok iyi geldi saglam geldi paketlemesi iyiydi,kargo,pozitif
cok iyi geldi saglam geldi paketlemesi iyiydi,cok iyi geldi saglam geldi paketlemesi iyiydi,ambalaj,pozitif
tam bir fiyat performans ürünü,tam bir fiyat performans ürünü,fiyat,notr
çok memnunum bu fiyata piyasadaki güzel ürünlerden biri.,çok memnunum bu fiyata piyasadaki güzel ürünlerden biri,fiyat,pozitif
ürün çok güzel paketlenmiş çok zarif şık bir ürün kurulumu çok kolay oldu çok beğendim şimdilik bir sorun yaşamadım inşallah yasamamda ders çalışmak için aldım,ürün çok güzel paketlenmiş çok zarif şık bir ürün kurulumu çok kolay oldu çok beğendim şimdilik bir sorun yaşamadım inşallah yasamamda ders çalışmak için aldım,fiyat,pozitif
ürün çok güzel paketlenmiş çok zarif şık bir ürün kurulumu çok kolay oldu çok beğendim şimdilik bir sorun yaşamadım inşallah yasamamda ders çalışmak için aldım,ürün çok güzel paketlenmiş çok zarif şık bir ürün kurulumu çok kolay oldu çok beğendim şimdilik bir sorun yaşamadım inşallah yasamamda ders çalışmak için aldım,ambalaj,pozitif
bilgisayarım geldi aşırı özenli paketlenmişti ince ve kibar kurulum vs için halledildi biraz yavaş gibi ama fiyatına göre uygun,bilgisayarım geldi aşırı özenli paketlenmişti ince ve kibar kurulum vs için halledildi biraz yavaş gibi,kargo,negatif
bilgisayarım geldi aşırı özenli paketlenmişti ince ve kibar kurulum vs için halledildi biraz yavaş gibi ama fiyatına göre uygun,bilgisayarım geldi aşırı özenli paketlenmişti ince ve kibar kurulum vs için halledildi biraz yavaş gibi,ambalaj,negatif
bilgisayarım geldi aşırı özenli paketlenmişti ince ve kibar kurulum vs için halledildi biraz yavaş gibi ama fiyatına göre uygun,fiyatına göre uygun,fiyat,notr
İş görür güzel bi bilgisayar,iş görür güzel bi bilgisayar,genel,pozitif
Ögrencı kullanımına göre ideal bence,ögrencı kullanımına göre ideal bence,genel,notr
👍ders çalışmak için yeterli,ders çalışmak için yeterli,genel,pozitif
genel olqrak güzel tavsiye ederim,genel olqrak güzel tavsiye ederim,genel,pozitif
sağlam kargo ve güzel paketleme kurulumlu geldi çok  begendim sadece bir tık yavaş,sağlam kargo ve güzel paketleme kurulumlu geldi çok begendim sadece bir tık yavaş,kargo,pozitif
sağlam kargo ve güzel paketleme kurulumlu geldi çok  begendim sadece bir tık yavaş,sağlam kargo ve güzel paketleme kurulumlu geldi çok begendim sadece bir tık yavaş,ambalaj,pozitif
İş görüyor bişiler izlemek ve ofis işleri için uygun,iş görüyor bişiler izlemek ve ofis işleri için uygun,fiyat,notr
"Kurulumu yeni yapıyorum,gayet güzel ve sağlam gözüküyor","kurulumu yeni yapıyorum,gayet güzel ve sağlam gözüküyor",kalite,pozitif
güzel cihaz kurlumu kolay oldu ancak biraz kasıyor ama iş görür,güzel cihaz kurlumu kolay oldu,genel,pozitif
fiyatına göre çok iyi,fiyatına göre çok iyi,fiyat,pozitif
hızlı ve işimi görüyo,hızlı ve işimi görüyo,genel,pozitif
Gayet kullanışlı alınabilir,gayet kullanışlı alınabilir,genel,notr
babama aldik fiyat performans ürünü,babama aldik fiyat performans ürünü,fiyat,notr
Güzel bir bilgisayar,güzel bir bilgisayar,genel,pozitif
güzel ben 3aydır kullanıyorum sarjı hızlı doluyo film izlemek için kullanıyprum,güzel ben 3aydır kullanıyorum sarjı hızlı doluyo film izlemek için kullanıyprum,batarya,pozitif
fiyat performans ürünü,fiyat performans ürünü,fiyat,notr
tam bir fiyat performans ürünü iş için aldım,tam bir fiyat performans ürünü iş için aldım,fiyat,notr
"Çok ağır.. eski tip bir laptop, ev tipi.. iş görür","eski tip bir laptop, ev tipi",genel,notr
Basit işler için ideal. Ekrana bayıldım çerçeveler oldukça ince iş görür.,ekrana bayıldım çerçeveler oldukça ince iş görür,ses_goruntu,pozitif
Zarif bir bilgisayar iş görür,zarif bir bilgisayar iş görür,genel,notr
Biraz yavaş ama güzel beğendim,biraz yavaş ama güzel beğendim,genel,pozitif
Fiyatına göre kullanışlı bir ürün.,fiyatına göre kullanışlı bir ürün,fiyat,notr
Fiyat performans çok bir şey beklemeyin günlük kullanım için ideal,fiyat performans çok bir şey beklemeyin günlük kullanım için ideal,fiyat,notr
cok iyi cok begendim,cok iyi cok begendim,genel,pozitif
guzel ve kullanisli,guzel ve kullanisli,genel,notr
oyun için olmasada dersler için yeterli bir bilgisayar,oyun için olmasada dersler için yeterli bir bilgisayar,genel,pozitif
yani taksit ile aldım ama umarım birşey olmadan kullanırım.,yani taksit ile aldım,fiyat,notr
Fiyat performans,fiyat performans,fiyat,notr
fiyatına göre fena değil.,fiyatına göre fena değil,fiyat,pozitif
Hakkını veriyor.,hakkını veriyor.,genel,notr
ben beğendim güzel,ben beğendim güzel,genel,pozitif
çok kullanışlı ve hafif ben kpss için aldım işimi görüyor şuanlık hatta bir kaç uygulama da indirdim herhangi bir kasma sorunu yaşamadım daha ama oyun bilgisaya,çok kullanışlı ve hafif ben kpss için aldım işimi görüyor şuanlık hatta bir kaç uygulama da indirdim herhangi bir kasma sorunu yaşamadım daha,fiyat,notr
iyi güzel kullanışlı,iyi güzel kullanışlı,genel,pozitif
Tek kelime ile harikaa çok güzeldi çok beğendim almanızı tavsiye ederim,tek kelime ile harikaa çok güzeldi çok beğendim almanızı tavsiye ederim,genel,pozitif
cidden mükemmel bir ürün bayıldım tavsiye ediyorum şiddetle,cidden mükemmel bir ürün bayıldım tavsiye ediyorum şiddetle,genel,pozitif
Ürün elime ulaştı paketleme gerçekten çok mükemmeldi cihazı kurdum 2 gündür kullanıyorum hiç bir sıkıntı göremedim gayet iyi fiyatının hakkını veriyor çevremdek,ürün elime ulaştı paketleme gerçekten çok mükemmeldi cihazı kurdum 2 gündür kullanıyorum hiç bir sıkıntı göremedim gayet iyi fiyatının hakkını veriyor çevremdek,kargo,pozitif
Ürün elime ulaştı paketleme gerçekten çok mükemmeldi cihazı kurdum 2 gündür kullanıyorum hiç bir sıkıntı göremedim gayet iyi fiyatının hakkını veriyor çevremdek,ürün elime ulaştı paketleme gerçekten çok mükemmeldi cihazı kurdum 2 gündür kullanıyorum hiç bir sıkıntı göremedim gayet iyi fiyatının hakkını veriyor çevremdek,fiyat,pozitif
Ürün elime ulaştı paketleme gerçekten çok mükemmeldi cihazı kurdum 2 gündür kullanıyorum hiç bir sıkıntı göremedim gayet iyi fiyatının hakkını veriyor çevremdek,ürün elime ulaştı paketleme gerçekten çok mükemmeldi cihazı kurdum 2 gündür kullanıyorum hiç bir sıkıntı göremedim gayet iyi fiyatının hakkını veriyor çevremdek,ambalaj,pozitif
Bilgisayarım sorunsuz geldi üç gün içerisinde elime ulaştı çok memnun kaldım teşekkür ederimmm,bilgisayarım sorunsuz geldi üç gün içerisinde elime ulaştı çok memnun kaldım teşekkür ederimm,kargo,pozitif
Bilgisayarım sorunsuz geldi üç gün içerisinde elime ulaştı çok memnun kaldım teşekkür ederimmm,bilgisayarım sorunsuz geldi üç gün içerisinde elime ulaştı çok memnun kaldım teşekkür ederimm,fiyat,pozitif
Ofis için aldım gayet hızlı kurulumu kolay bir kaç arkadaşıma önerdim onlarda alacaklar teşekkür ediyorum,ofis için aldım gayet hızlı kurulumu kolay bir kaç arkadaşıma önerdim onlarda alacaklar teşekkür ediyorum,fiyat,pozitif
Kızıma aldım çok beğendi Üniversite için kullanıyor.Çok memnun .Görüntü olarakta hafif ve güzel,kızıma aldım çok beğendi üniversite için kullanıyor,fiyat,notr
çok beğendim hızlıca elime ulaştı ben ders için aldım güvenerek isteyebilirsiniz,çok beğendim hızlıca elime ulaştı ben ders için aldım güvenerek isteyebilirsiniz,kargo,pozitif
çok beğendim hızlıca elime ulaştı ben ders için aldım güvenerek isteyebilirsiniz,çok beğendim hızlıca elime ulaştı ben ders için aldım güvenerek isteyebilirsiniz,fiyat,pozitif
Herşey istediğim gibi Bu sefer kargo sarıtu ürün herşey mükemmel teşekkür ederim.... Ha bu arada aynı PC ayuzbirde altibin kusurken burda çok daha uygun fiyata,herşey istediğim gibi bu sefer kargo sarıtu ürün herşey mükemmel teşekkür ederim,kargo,pozitif
Herşey istediğim gibi Bu sefer kargo sarıtu ürün herşey mükemmel teşekkür ederim.... Ha bu arada aynı PC ayuzbirde altibin kusurken burda çok daha uygun fiyata,ha bu arada aynı pc ayuzbirde altibin kusurken burda çok daha uygun fiyata,fiyat,notr
sağlam geldi şarz iyi bulutut bağlantı var kablosuz bağlantı İnternet bağlantısı var fiyatına göre gayet güzel,sağlam geldi şarz iyi bulutut bağlantı var kablosuz bağlantı internet bağlantısı var fiyatına göre gayet güzel,kargo,pozitif
sağlam geldi şarz iyi bulutut bağlantı var kablosuz bağlantı İnternet bağlantısı var fiyatına göre gayet güzel,sağlam geldi şarz iyi bulutut bağlantı var kablosuz bağlantı internet bağlantısı var fiyatına göre gayet güzel,fiyat,pozitif
"Tam istediğim boyutta ve hafiflikte lenovo bence çok iyi bir marka kardeşim müsade etse uzun yıllar kullanacağız ama birisini ortadan ikiye ayırmıştı, bana mısı","tam istediğim boyutta ve hafiflikte lenovo bence çok iyi bir marka kardeşim müsade etse uzun yıllar kullanacağız ama birisini ortadan ikiye ayırmıştı, bana mısı",genel,pozitif
Ürünü çok beğendim . Sorunsuz bir şekilde elime ulaştı. Okul için yeterli gibi görünüyor . İlk açtığınızda biraz bekliyorsunuz lakin sonra ki süreçte yani kurul,ürünü çok beğendim,genel,pozitif
Ürünü çok beğendim . Sorunsuz bir şekilde elime ulaştı. Okul için yeterli gibi görünüyor . İlk açtığınızda biraz bekliyorsunuz lakin sonra ki süreçte yani kurul,sorunsuz bir şekilde elime ulaştı,kargo,pozitif
Ürünü çok beğendim . Sorunsuz bir şekilde elime ulaştı. Okul için yeterli gibi görünüyor . İlk açtığınızda biraz bekliyorsunuz lakin sonra ki süreçte yani kurul,okul için yeterli gibi görünüyor,ses_goruntu,pozitif
Ben erkek arkaşıma hediye aldım Baya sağlam güzel paketlenmiş tasarımıda gayet güzel beğendim dış görünüş olarak başka bi markayla gıdıp geliyodum ama iyiki bun,ben erkek arkaşıma hediye aldım baya sağlam güzel paketlenmiş tasarımıda gayet güzel beğendim dış görünüş olarak başka bi markayla gıdıp geliyodum,fiyat,pozitif
Ben erkek arkaşıma hediye aldım Baya sağlam güzel paketlenmiş tasarımıda gayet güzel beğendim dış görünüş olarak başka bi markayla gıdıp geliyodum ama iyiki bun,ben erkek arkaşıma hediye aldım baya sağlam güzel paketlenmiş tasarımıda gayet güzel beğendim dış görünüş olarak başka bi markayla gıdıp geliyodum,ambalaj,pozitif
Gerçekten tereddüt ederek aldım iyikide almışım  bilgisayar alacak olanlara tavsiye ederim harika kendim kurdum ses kalitesi görüntü kalitesi mükemmel  bilgisay,gerçekten tereddüt ederek aldım iyikide almışım bilgisayar alacak olanlara tavsiye ederim harika kendim kurdum ses kalitesi görüntü kalitesi mükemmel bilgisay,kalite,pozitif
Gerçekten tereddüt ederek aldım iyikide almışım  bilgisayar alacak olanlara tavsiye ederim harika kendim kurdum ses kalitesi görüntü kalitesi mükemmel  bilgisay,gerçekten tereddüt ederek aldım iyikide almışım bilgisayar alacak olanlara tavsiye ederim harika kendim kurdum ses kalitesi görüntü kalitesi mükemmel bilgisay,fiyat,pozitif
Gerçekten tereddüt ederek aldım iyikide almışım  bilgisayar alacak olanlara tavsiye ederim harika kendim kurdum ses kalitesi görüntü kalitesi mükemmel  bilgisay,gerçekten tereddüt ederek aldım iyikide almışım bilgisayar alacak olanlara tavsiye ederim harika kendim kurdum ses kalitesi görüntü kalitesi mükemmel bilgisay,ses_goruntu,pozitif
valla paketleme on numara sağ saglim geldi baya şik ve güzel herkese tavsiye ederim satıcıya teşekkür ederim elinize sağlık,valla paketleme on numara sağ saglim geldi baya şik ve güzel herkese tavsiye ederim satıcıya teşekkür ederim elinize sağlık,kargo,pozitif
valla paketleme on numara sağ saglim geldi baya şik ve güzel herkese tavsiye ederim satıcıya teşekkür ederim elinize sağlık,valla paketleme on numara sağ saglim geldi baya şik ve güzel herkese tavsiye ederim satıcıya teşekkür ederim elinize sağlık,ambalaj,pozitif
simdilik memnunum sorunsuz açıldı kuruluma gerek yok,simdilik memnunum sorunsuz açıldı kuruluma gerek yok,ambalaj,pozitif
Ben çok beğendim almak isteyip tereddütte kalan arkadaşlarıma kesinlikle tavsiye ediyorum,ben çok beğendim almak isteyip tereddütte kalan arkadaşlarıma kesinlikle tavsiye ediyorum,genel,pozitif
gayet güzel kurulumunu yaptım ince zarif kardeşimin doğum günü için aldım çok tatlı paketlemeside korunaklı teşekkürler🤗,gayet güzel kurulumunu yaptım ince zarif kardeşimin doğum günü için aldım çok tatlı paketlemeside korunaklı teşekkürler,fiyat,pozitif
gayet güzel kurulumunu yaptım ince zarif kardeşimin doğum günü için aldım çok tatlı paketlemeside korunaklı teşekkürler🤗,gayet güzel kurulumunu yaptım ince zarif kardeşimin doğum günü için aldım çok tatlı paketlemeside korunaklı teşekkürler,ambalaj,pozitif
iyiki almışım gerçekten çok iyi. paketleme normaldi ürün baya güzel iş görür öğrenciyim derslerim için aldım,paketleme normaldi ürün baya güzel iş görür öğrenciyim derslerim için aldım,fiyat,pozitif
iyiki almışım gerçekten çok iyi. paketleme normaldi ürün baya güzel iş görür öğrenciyim derslerim için aldım,paketleme normaldi ürün baya güzel iş görür öğrenciyim derslerim için aldım,ambalaj,pozitif
çok çok iyi ben ders için aldım asla donma yapmıyor,çok çok iyi ben ders için aldım asla donma yapmıyor,fiyat,pozitif
5 sınıf oğlum için aldık. Memnunuz,5 sınıf oğlum için aldık. memnunuz,genel,notr
ürün son derece güzel kurulumu oldukça kolay kendiniz rahatlıkla yapabilirsiniz ses ve görüntü kalitesi de gayet güzel  ve hızlı çalışıyor kesinlikle tavsiye ed,ürün son derece güzel kurulumu oldukça kolay kendiniz rahatlıkla yapabilirsiniz ses ve görüntü kalitesi de gayet güzel ve hızlı çalışıyor kesinlikle tavsiye ed,kalite,pozitif
ürün son derece güzel kurulumu oldukça kolay kendiniz rahatlıkla yapabilirsiniz ses ve görüntü kalitesi de gayet güzel  ve hızlı çalışıyor kesinlikle tavsiye ed,ürün son derece güzel kurulumu oldukça kolay kendiniz rahatlıkla yapabilirsiniz ses ve görüntü kalitesi de gayet güzel ve hızlı çalışıyor kesinlikle tavsiye ed,ses_goruntu,pozitif
Ürün u kızıma aldim çok begendi teşekkür ederim,ürün u kızıma aldim çok begendi teşekkür ederim,genel,notr
Ürün beklediğimden çok daha güzel geldi paketlemesi de çok iyiydi fiyatı da şimdiki bilgisayarlara göre çok uygun ben eşime hediye aldım biz çok beğendik herkes,ürün beklediğimden çok daha güzel geldi paketlemesi de çok iyiydi fiyatı da şimdiki bilgisayarlara göre çok uygun ben eşime hediye aldım biz çok beğendik herkes,kargo,pozitif
Ürün beklediğimden çok daha güzel geldi paketlemesi de çok iyiydi fiyatı da şimdiki bilgisayarlara göre çok uygun ben eşime hediye aldım biz çok beğendik herkes,ürün beklediğimden çok daha güzel geldi paketlemesi de çok iyiydi fiyatı da şimdiki bilgisayarlara göre çok uygun ben eşime hediye aldım biz çok beğendik herkes,kalite,pozitif
Ürün beklediğimden çok daha güzel geldi paketlemesi de çok iyiydi fiyatı da şimdiki bilgisayarlara göre çok uygun ben eşime hediye aldım biz çok beğendik herkes,ürün beklediğimden çok daha güzel geldi paketlemesi de çok iyiydi fiyatı da şimdiki bilgisayarlara göre çok uygun ben eşime hediye aldım biz çok beğendik herkes,fiyat,pozitif
Ürün beklediğimden çok daha güzel geldi paketlemesi de çok iyiydi fiyatı da şimdiki bilgisayarlara göre çok uygun ben eşime hediye aldım biz çok beğendik herkes,ürün beklediğimden çok daha güzel geldi paketlemesi de çok iyiydi fiyatı da şimdiki bilgisayarlara göre çok uygun ben eşime hediye aldım biz çok beğendik herkes,ambalaj,pozitif
ürün 10 numara 5 yıldiz efsanee tam benim aradigimm,ürün 10 numara 5 yıldiz efsanee tam benim aradigimm,genel,pozitif
"tereddütlerım vardı akşam, sıparıs, verdım sabahında geldı kızım ıcın, çok yeterlı hemen kurdı ödevlerini ypıyor ozdllıkle meslek okuduğu ıcın proje yprken cok","tereddütlerım vardı akşam, sıparıs, verdım sabahında geldı kızım ıcın, çok yeterlı hemen kurdı ödevlerini ypıyor ozdllıkle meslek okuduğu ıcın proje yprken cok",genel,notr
teşekkür ederim gayet memnunum çok beğendim,teşekkür ederim gayet memnunum çok beğendim,genel,pozitif
"oğluma aldık. çok memnun, çok kullanışlı. ev kullanıcısı için harika. hızlı teslimat için teşekkürler.",hızlı teslimat için teşekkürler,kargo,pozitif
leptop çok güzel hızlı geldi teşekkür ederim,leptop çok güzel hızlı geldi teşekkür ederim,kargo,pozitif
Bir aydan az bir süredir kullanıyorum. Üniversite ve ofis işleri almıştım. Şimdilik her şey güzel,şimdilik her şey güzel,genel,pozitif
Güzel ürün ben ders çalışmak için almıştım işimi görüyor,güzel ürün ben ders çalışmak için almıştım işimi görüyor,genel,pozitif
kardeşime aldım çok güzel...,kardeşime aldım çok güzel,fiyat,pozitif
harika teşekkür ederim herşey için iyiki varsınız,harika teşekkür ederim herşey için iyiki varsınız,genel,pozitif
ben beğendim sadece YouTube ve PDFlerim için kısacası kpss çalışacaktım çok özellik istemedim bana yetti kullandıkça güncelleme yaparım satıcıya çok teşekkür ed,ben beğendim sadece youtube ve pdflerim için kısacası kpss çalışacaktım çok özellik istemedim bana yetti kullandıkça güncelleme yaparım satıcıya çok teşekkür ed,genel,pozitif
beklediğimden de iyi çıktı satıcı çok ilgi teşekkürler,beklediğimden de iyi çıktı satıcı çok ilgi teşekkürler,kalite,pozitif
Öğrenci için almıştım çok süper,öğrenci için almıştım çok süper,genel,pozitif
Öncelikle firmaya teşekkür ederim 1 günde Elime ulaştı Alıcak olan arkadaşlara tavsiye ederim Gayet güzel şık bir ürün ( Oyun için Değildir ) Ben müzik youtube,öncelikle firmaya teşekkür ederim 1 günde elime ulaştı alıcak olan arkadaşlara tavsiye ederim gayet güzel şık bir ürün oyun için değildir ben müzik youtube,kargo,pozitif
çok beğendim fiyat olarak da çok uygun,çok beğendim fiyat olarak da çok uygun,fiyat,pozitif
Kızım için aldım çok beğendi teşekkürler,kızım için aldım çok beğendi teşekkürler,fiyat,notr
Ürünü alırken başlarda tereddüt etmiştim alsam mı almasam mı diye kararsız kalmıştım. Laptop kurulumu kendisi yapıyor Şarjı dayanaklı Paketleme kusursuz yapılmı,ürünü alırken başlarda tereddüt etmiştim alsam mı almasam mı diye kararsız kalmıştım,genel,notr
Ürünü alırken başlarda tereddüt etmiştim alsam mı almasam mı diye kararsız kalmıştım. Laptop kurulumu kendisi yapıyor Şarjı dayanaklı Paketleme kusursuz yapılmı,laptop kurulumu kendisi yapıyor şarjı dayanaklı paketleme kusursuz yapılmı,kalite,pozitif
Ürünü alırken başlarda tereddüt etmiştim alsam mı almasam mı diye kararsız kalmıştım. Laptop kurulumu kendisi yapıyor Şarjı dayanaklı Paketleme kusursuz yapılmı,laptop kurulumu kendisi yapıyor şarjı dayanaklı paketleme kusursuz yapılmı,batarya,pozitif
Ürünü alırken başlarda tereddüt etmiştim alsam mı almasam mı diye kararsız kalmıştım. Laptop kurulumu kendisi yapıyor Şarjı dayanaklı Paketleme kusursuz yapılmı,laptop kurulumu kendisi yapıyor şarjı dayanaklı paketleme kusursuz yapılmı,ambalaj,pozitif
hemşirelik öğrencisiyim ben memnunum kullanışı rahat gayet iyi .,hemşirelik öğrencisiyim ben memnunum kullanışı rahat gayet iyi,genel,pozitif
kuzenim üniversite için almıştı çok memnun kalınca bana da tavsiye etti. öğretmenim Office uygulamaları için kullanıyorum gerçekten şahane bir ürün o kadar memn,öğretmenim office uygulamaları için kullanıyorum gerçekten şahane bir ürün o kadar memn,genel,pozitif
Kuzenim almıştı bende ondan görüp aldım çok hafif ince ve fiyatına göre iyi bir ürün kullanışlı benim işimi görücek kadar yeterli,kuzenim almıştı bende ondan görüp aldım çok hafif ince ve fiyatına göre iyi bir ürün kullanışlı benim işimi görücek kadar yeterli,fiyat,pozitif
Ürün elime ulaştı paketleme çok özenliydi tavsiye ederim kurulumu da olmuştu çok teşekkür ederim,ürün elime ulaştı paketleme çok özenliydi tavsiye ederim kurulumu da olmuştu çok teşekkür ederim,kargo,pozitif
Ürün elime ulaştı paketleme çok özenliydi tavsiye ederim kurulumu da olmuştu çok teşekkür ederim,ürün elime ulaştı paketleme çok özenliydi tavsiye ederim kurulumu da olmuştu çok teşekkür ederim,ambalaj,pozitif
gerçekten müthiş bir ürün. öğrenciyim ve işimi görüyor şarjı çok uzun süre gidiyor ses kalitesi beklediğimden de iyi bayıldımmm kesinlikle bu fiyata çok iyi bir,gerçekten müthiş bir ürün,genel,notr
gerçekten müthiş bir ürün. öğrenciyim ve işimi görüyor şarjı çok uzun süre gidiyor ses kalitesi beklediğimden de iyi bayıldımmm kesinlikle bu fiyata çok iyi bir,öğrenciyim ve işimi görüyor şarjı çok uzun süre gidiyor ses kalitesi beklediğimden de iyi bayıldımm kesinlikle bu fiyata çok iyi bir,kalite,pozitif
gerçekten müthiş bir ürün. öğrenciyim ve işimi görüyor şarjı çok uzun süre gidiyor ses kalitesi beklediğimden de iyi bayıldımmm kesinlikle bu fiyata çok iyi bir,öğrenciyim ve işimi görüyor şarjı çok uzun süre gidiyor ses kalitesi beklediğimden de iyi bayıldımm kesinlikle bu fiyata çok iyi bir,fiyat,pozitif
gerçekten müthiş bir ürün. öğrenciyim ve işimi görüyor şarjı çok uzun süre gidiyor ses kalitesi beklediğimden de iyi bayıldımmm kesinlikle bu fiyata çok iyi bir,öğrenciyim ve işimi görüyor şarjı çok uzun süre gidiyor ses kalitesi beklediğimden de iyi bayıldımm kesinlikle bu fiyata çok iyi bir,batarya,pozitif
gerçekten müthiş bir ürün. öğrenciyim ve işimi görüyor şarjı çok uzun süre gidiyor ses kalitesi beklediğimden de iyi bayıldımmm kesinlikle bu fiyata çok iyi bir,öğrenciyim ve işimi görüyor şarjı çok uzun süre gidiyor ses kalitesi beklediğimden de iyi bayıldımm kesinlikle bu fiyata çok iyi bir,ses_goruntu,pozitif
Beklediğimden daha iyi eski Laptopda benim aynı markaydı bozulunca acil laptop ihtiyacım oldu iyi ki almışım şu an işimi fazlasıyla görüyor memmun kaldım,beklediğimden daha iyi eski laptopda benim aynı markaydı bozulunca acil laptop ihtiyacım oldu iyi ki almışım şu an işimi fazlasıyla görüyor memmun kaldım,kalite,pozitif
